Model,Survival_Time,Reaction_Time,Run_Dir,Error
go0-avoid100,9.491133451461792,0.1175349235534668,runs2\00000,False
go25-avoid75,42.69647812843323,0.1575417915980021,runs2\00001,False
go50-avoid50,14.716090440750122,0.1524630308151245,runs2\00002,False
go75-avoid25,18.29721212387085,0.1440484353474208,runs2\00003,False
go100-avoid0,55.70914340019226,0.1608781205846908,runs2\00004,False
go0-avoid100,74.97788119316101,0.1897699832916259,runs2\00005,False
go25-avoid75,18.60095262527465,0.1507663215909685,runs2\00006,False
go50-avoid50,51.17112112045288,0.1561117009683088,runs2\00007,True
go75-avoid25,78.09889197349548,0.1550151326439597,runs2\00008,False
go100-avoid0,28.361494779586792,0.1535324221071989,runs2\00009,False
go0-avoid100,85.44909811019897,0.1563911995330414,runs2\00010,False
go25-avoid75,27.95204401016236,0.1492388455764107,runs2\00011,False
go50-avoid50,109.4302990436554,0.1599197995905973,runs2\00012,False
go75-avoid25,22.038753271102905,0.1525646237766041,runs2\00013,False
go100-avoid0,78.92887258529663,0.16262904457424,runs2\00014,False
go0-avoid100,169.63966751098633,0.1645434581680803,runs2\00015,False
go25-avoid75,32.06259059906006,0.1568299807035006,runs2\00016,False
go50-avoid50,72.70010638237,0.1594158113002777,runs2\00017,False
go75-avoid25,38.08138966560364,0.1717041810353597,runs2\00018,False
go100-avoid0,5.6258533000946045,0.14201021194458,runs2\00019,False
go0-avoid100,11.357964038848875,0.142087629863194,runs2\00020,False
go25-avoid75,51.36256170272827,0.1626125823619753,runs2\00021,False
go50-avoid50,68.19417715072632,0.1599381172050864,runs2\00022,True
go75-avoid25,13.401417255401611,0.1429969668388366,runs2\00023,False
go100-avoid0,5.497799873352051,0.1396410465240478,runs2\00024,False
go0-avoid100,19.62683415412903,0.1468865394592285,runs2\00025,False
go25-avoid75,44.38626527786255,0.1560501801340203,runs2\00026,False
go50-avoid50,110.11881494522096,0.1564715510666972,runs2\00027,False
go75-avoid25,37.29316425323486,0.1497600302100181,runs2\00028,False
go100-avoid0,13.3106427192688,0.1426981025271945,runs2\00029,False
go0-avoid100,6.578731298446655,0.1484392881393432,runs2\00030,False
go25-avoid75,5.503452777862549,0.1416609287261963,runs2\00031,False
go50-avoid50,36.64091849327088,0.1529997164203274,runs2\00032,False
go75-avoid25,96.8733925819397,0.16033903110859,runs2\00033,False
go100-avoid0,41.58501386642456,0.1524664693408542,runs2\00034,False
go0-avoid100,10.1987202167511,0.1428619623184204,runs2\00035,False
go25-avoid75,33.86109733581543,0.1495581495350804,runs2\00036,False
go50-avoid50,147.7555866241455,0.1593399047851562,runs2\00037,False
go75-avoid25,58.68705010414124,0.1539620527854332,runs2\00038,False
go100-avoid0,20.135246515274048,0.1519284089406331,runs2\00039,False
go0-avoid100,60.89596796035767,0.1555368029154264,runs2\00040,False
go25-avoid75,13.452927827835085,0.1440805859035915,runs2\00041,False
go50-avoid50,70.5360369682312,0.1567466297457295,runs2\00042,False
go75-avoid25,85.93074297904968,0.1596660927722328,runs2\00043,False
go100-avoid0,21.90274739265442,0.1543580784517176,runs2\00044,False
go0-avoid100,85.02587056159973,0.1546572335561116,runs2\00045,False
go25-avoid75,24.9694983959198,0.1533422112464904,runs2\00046,False
go50-avoid50,27.07326006889344,0.1510297493501143,runs2\00047,False
go75-avoid25,28.702992916107178,0.1648007739673961,runs2\00048,False
go100-avoid0,22.31130313873291,0.1631117165088653,runs2\00049,False
go0-avoid100,14.250061988830566,0.1418280363082885,runs2\00050,False
go25-avoid75,29.52571272850037,0.1540132860342661,runs2\00051,False
go50-avoid50,49.94602274894714,0.1523186347701332,runs2\00052,False
go75-avoid25,24.11076259613037,0.1528444290161132,runs2\00053,False
go100-avoid0,84.67578721046448,0.158329963684082,runs2\00054,False
go0-avoid100,42.65166258811951,0.1530677563435322,runs2\00055,False
go25-avoid75,24.6105477809906,0.1490809798240661,runs2\00056,False
go50-avoid50,45.13458847999573,0.156167128147223,runs2\00057,True
go75-avoid25,44.87679219245911,0.142192781910531,runs2\00058,False
go100-avoid0,17.35105538368225,0.1448726359213338,runs2\00059,False
go0-avoid100,26.65854001045227,0.1459481216327625,runs2\00060,False
go25-avoid75,110.65492582321168,0.1468406946796414,runs2\00061,False
go50-avoid50,70.61017537117004,0.1679067701423675,runs2\00062,False
go75-avoid25,63.28015685081482,0.1623211137562487,runs2\00063,False
go100-avoid0,36.222251176834106,0.1592083003698348,runs2\00064,False
go0-avoid100,5.524341821670532,0.1482752270909838,runs2\00065,False
go25-avoid75,11.152833938598633,0.1433828012810074,runs2\00066,False
go50-avoid50,27.650769233703613,0.1557893790610485,runs2\00067,False
go75-avoid25,17.143167734146118,0.1584054695685566,runs2\00068,False
go100-avoid0,73.89613080024719,0.1598574187882358,runs2\00069,False
go0-avoid100,44.75899314880371,0.1602772620335907,runs2\00070,False
go25-avoid75,5.584837198257446,0.1502018857020449,runs2\00071,False
go50-avoid50,20.349318742752075,0.1530674037613674,runs2\00072,False
go75-avoid25,27.58711242675781,0.1539786875699495,runs2\00073,False
go100-avoid0,31.227829456329346,0.1600557835452784,runs2\00074,False
go0-avoid100,15.921256303787231,0.1447208663116084,runs2\00075,False
go25-avoid75,6.758834838867188,0.1474667050218354,runs2\00076,False
go50-avoid50,30.586981773376465,0.15948905306868,runs2\00077,False
go75-avoid25,64.39756059646606,0.1589828190342772,runs2\00078,False
go100-avoid0,10.16927409172058,0.1424099366938842,runs2\00079,True
go0-avoid100,22.40197920799256,0.1605546359774904,runs2\00080,False
go25-avoid75,27.20513701438904,0.1581279702046169,runs2\00081,False
go50-avoid50,12.571013927459717,0.1554634972792515,runs2\00082,False
go75-avoid25,59.74579334259033,0.1558876413046632,runs2\00083,False
go100-avoid0,44.75038003921509,0.1634630988421319,runs2\00084,False
go0-avoid100,287.25326204299927,0.1631111478406934,runs2\00085,False
go25-avoid75,6.7108917236328125,0.1459615692845351,runs2\00086,False
go50-avoid50,5.557606220245361,0.1490612923602164,runs2\00087,False
go75-avoid25,31.632481813430783,0.155206931086824,runs2\00088,False
go100-avoid0,14.654205799102783,0.1565321288932958,runs2\00089,False
go0-avoid100,16.347838640213013,0.1501349482990977,runs2\00090,False
go25-avoid75,57.86675405502319,0.1579878813488848,runs2\00091,False
go50-avoid50,14.81112575531006,0.1521578159762349,runs2\00092,False
go75-avoid25,24.08357810974121,0.1577029145208915,runs2\00093,False
go100-avoid0,31.65538263320923,0.1623800975697375,runs2\00094,False
go0-avoid100,12.385117292404177,0.1426382184544786,runs2\00095,False
go25-avoid75,18.963558673858643,0.154447561539922,runs2\00096,False
go50-avoid50,10.65669560432434,0.1566006081568973,runs2\00097,True
go75-avoid25,22.10515689849853,0.1561198700504661,runs2\00098,False
go100-avoid0,14.232742547988892,0.1496634572092524,runs2\00099,False
go0-avoid100,58.60417437553406,0.1598824628633814,runs2\00100,False
go25-avoid75,25.7500388622284,0.1797881031778491,runs2\00101,False
go50-avoid50,28.056177139282227,0.1546379727011279,runs2\00102,False
go75-avoid25,43.03605437278748,0.1580654114454218,runs2\00103,False
go100-avoid0,36.83586239814758,0.1549329092438319,runs2\00104,False
go0-avoid100,54.71832942962647,0.1584742731616433,runs2\00105,False
go25-avoid75,6.575548887252808,0.1527915429050708,runs2\00106,False
go50-avoid50,10.125051975250244,0.1436913171337021,runs2\00107,True
go75-avoid25,39.403265953063965,0.1572488380282199,runs2\00108,False
go100-avoid0,17.759104013442993,0.1616158549414867,runs2\00109,False
go0-avoid100,9.26859974861145,0.1446002194167481,runs2\00110,False
go25-avoid75,220.43240094184875,0.1646565750051278,runs2\00111,False
go50-avoid50,24.48791241645813,0.1559731752722023,runs2\00112,False
go75-avoid25,23.557886123657227,0.1502377907835437,runs2\00113,False
go100-avoid0,34.90598654747009,0.1579262415919577,runs2\00114,False
go0-avoid100,139.2532742023468,0.1651482684137705,runs2\00115,False
go25-avoid75,16.164257526397705,0.1627652063654388,runs2\00116,False
go50-avoid50,26.8030219078064,0.1646124399848626,runs2\00117,True
go75-avoid25,61.71597146987915,0.1603217185807318,runs2\00118,False
go100-avoid0,46.14813852310181,0.155810626426237,runs2\00119,False
go0-avoid100,29.446948289871216,0.1558276349943034,runs2\00120,False
go25-avoid75,12.274201154708862,0.1487201862401463,runs2\00121,False
go50-avoid50,7.971544742584228,0.1424032372409131,runs2\00122,False
go75-avoid25,30.241667985916138,0.1545259318530203,runs2\00123,False
go100-avoid0,41.666956663131714,0.1594903082919063,runs2\00124,False
go0-avoid100,68.00802612304688,0.1574246310394836,runs2\00125,False
go25-avoid75,27.052735567092896,0.1549542855140796,runs2\00126,False
go50-avoid50,14.489441394805908,0.1518483010077968,runs2\00127,False
go75-avoid25,25.05988359451294,0.1539749664566777,runs2\00128,False
go100-avoid0,19.61866784095764,0.1509354967583122,runs2\00129,False
go0-avoid100,18.89367127418518,0.1595500423363041,runs2\00130,False
go25-avoid75,7.0999932289123535,0.179780154937193,runs2\00131,False
go50-avoid50,49.55770373344421,0.1638989182458498,runs2\00132,False
go75-avoid25,95.38599610328674,0.1608689541683946,runs2\00133,False
go100-avoid0,27.815184831619263,0.1611461782900196,runs2\00134,False
go0-avoid100,75.20680642127991,0.1676477443138797,runs2\00135,False
go25-avoid75,43.00162863731384,0.1620755283051462,runs2\00136,False
go50-avoid50,98.79346966743468,0.1606481244756745,runs2\00137,False
go75-avoid25,15.200869798660278,0.1553463303668562,runs2\00138,False
go100-avoid0,16.73141646385193,0.1543790569402238,runs2\00139,False
go0-avoid100,17.78607416152954,0.1528469114837937,runs2\00140,False
go25-avoid75,66.6136703491211,0.1725935436831636,runs2\00141,False
go50-avoid50,55.84065508842468,0.1603961006828716,runs2\00142,True
go75-avoid25,72.27169823646545,0.1620339147938732,runs2\00143,False
go100-avoid0,27.58676695823669,0.1568438935512741,runs2\00144,False
go0-avoid100,37.61938619613648,0.1560414831751181,runs2\00145,False
